domain_name,domain_url,status,category,watchlists,price
crypto.crypto,https://unstoppabledomains.com/d/crypto.crypto,For sale by owner,–,4.4K,"$20,000,000"
gold.crypto,https://unstoppabledomains.com/d/gold.crypto,For sale by owner,,2.2K,"$1,000,000"
usa.crypto,https://unstoppabledomains.com/d/usa.crypto,For sale by owner,–,1.6K,"$500,000"
privatejet.crypto,https://unstoppabledomains.com/d/privatejet.crypto,For sale by owner,–,1.1K,"$1,000,000"
poker.crypto,https://unstoppabledomains.com/d/poker.crypto,For sale by owner,,988,"$50,000"
china.crypto,https://unstoppabledomains.com/d/china.crypto,For sale by owner,–,895,"$5,000,000"
ai.crypto,https://unstoppabledomains.com/d/ai.crypto,For sale by owner,–,819,"$1,000,000"
yakamoz.x,https://unstoppabledomains.com/d/yakamoz.x,For sale by owner,–,818,"$100,000"
trumpmeme.x,https://unstoppabledomains.com/d/trumpmeme.x,For sale by owner,–,694,"$20,000,000"
trumpmemes.x,https://unstoppabledomains.com/d/trumpmemes.x,For sale by owner,–,693,"$20,000,000"
donate.crypto,https://unstoppabledomains.com/d/donate.crypto,For sale by owner,,688,"$3,500,000"
gettrumpmeme.x,https://unstoppabledomains.com/d/gettrumpmeme.x,For sale by owner,–,684,"$20,000,000"
tech.crypto,https://unstoppabledomains.com/d/tech.crypto,For sale by owner,–,680,"$3,999"
trumpcrypto.x,https://unstoppabledomains.com/d/trumpcrypto.x,For sale by owner,–,671,"$20,000,000"
zoom.crypto,https://unstoppabledomains.com/d/zoom.crypto,For sale by owner,–,639,"$37,500"
sell.crypto,https://unstoppabledomains.com/d/sell.crypto,For sale by owner,+1,606,"$2,133,377"
alibaba.crypto,https://unstoppabledomains.com/d/alibaba.crypto,For sale by owner,–,562,"$8,000"
we.crypto,https://unstoppabledomains.com/d/we.crypto,For sale by owner,–,556,"$289,000"
420.crypto,https://unstoppabledomains.com/d/420.crypto,For sale by owner,,556,"$4,200"
money.x,https://unstoppabledomains.com/d/money.x,For sale by owner,–,540,"$25,000"
bitcoin.x,https://unstoppabledomains.com/d/bitcoin.x,For sale by owner,–,516,"$20,000,000"
africa.crypto,https://unstoppabledomains.com/d/africa.crypto,For sale by owner,–,503,"$99,999"
rent.crypto,https://unstoppabledomains.com/d/rent.crypto,For sale by owner,–,489,"$4,231,000"
trumptoken.x,https://unstoppabledomains.com/d/trumptoken.x,For sale by owner,–,484,"$20,000,000"
trumpcoins.x,https://unstoppabledomains.com/d/trumpcoins.x,For sale by owner,–,473,"$20,000,000"
officialmelania.x,https://unstoppabledomains.com/d/officialmelania.x,For sale by owner,–,470,"$12,580,900"
melaniacrypto.x,https://unstoppabledomains.com/d/melaniacrypto.x,For sale by owner,–,466,"$14,580,500"
melaniatoken.x,https://unstoppabledomains.com/d/melaniatoken.x,For sale by owner,–,464,"$14,580,500"
blondeteens.x,https://unstoppabledomains.com/d/blondeteens.x,For sale by owner,–,461,"$20,000,000"
my.x,https://unstoppabledomains.com/d/my.x,For sale by owner,–,449,"$2,000"
eurogirls.x,https://unstoppabledomains.com/d/eurogirls.x,For sale by owner,–,436,"$20,000,000"
anime.crypto,https://unstoppabledomains.com/d/anime.crypto,For sale by owner,,434,"$59,000"
hello.crypto,https://unstoppabledomains.com/d/hello.crypto,For sale by owner,+1,420,"$8,000"
auto.crypto,https://unstoppabledomains.com/d/auto.crypto,For sale by owner,,417,"$1,600"
cat.crypto,https://unstoppabledomains.com/d/cat.crypto,For sale by owner,+2,408,"$100,000"
euroteens.x,https://unstoppabledomains.com/d/euroteens.x,For sale by owner,–,405,"$20,000,000"
dollar.x,https://unstoppabledomains.com/d/dollar.x,For sale by owner,,402,"$10,000"
free.x,https://unstoppabledomains.com/d/free.x,For sale by owner,+1,402,"$299,999"
chatgpt7.x,https://unstoppabledomains.com/d/chatgpt7.x,For sale by owner,–,401,$100
throated.x,https://unstoppabledomains.com/d/throated.x,For sale by owner,–,400,"$20,000,000"
